ticker,trading_day,z2_high,dz_low,eod_close,compression_pct,recovery_return_pct,category,vix,vix_regime,compression_bucket,is_event_day,vix_daily_change_pct
AAPL,2025-02-03,229.03,224.65,226.76,1.912413220975416,0.9392388159358938,weak_recovery,,unknown,>1.0%,False,0.0
AAPL,2025-02-04,231.22,230.15,231.54,0.46276273678747215,0.6039539430805937,full_recovery,,unknown,<0.5%,False,0.0
AAPL,2025-02-05,229.58,228.4,231.2,0.5139820541859077,1.2259194395796773,full_recovery,,unknown,0.5-1.0%,False,0.0
AAPL,2025-02-06,232.29,229.66,231.97,1.1322054328640905,1.0058347121832285,partial_recovery,,unknown,>1.0%,False,0.0
AAPL,2025-02-07,231.43,226.97,226.49,1.9271485978481648,-0.2114816936158919,failed_recovery,,unknown,>1.0%,False,0.0
AAPL,2025-02-10,229.6,227.26,226.67,1.0191637630662036,-0.2596145384141527,failed_recovery,15.81,<20,>1.0%,False,0.0
AAPL,2025-02-11,234.22,232.25,231.77,0.8410895739048753,-0.20667384284176094,failed_recovery,16.02,<20,0.5-1.0%,False,1.3282732447817778
AAPL,2025-02-13,240.58,239.04,240.49,0.6401197106991522,0.6065930388219617,partial_recovery,15.1,<20,0.5-1.0%,True,4.971680302076783
AAPL,2025-02-14,244.0,242.3,243.52,0.6967213114754052,0.5035080478745352,partial_recovery,14.77,<20,0.5-1.0%,True,2.1854304635761594
AAPL,2025-02-18,244.05,242.21,243.41,0.7539438639623042,0.4954378431939179,partial_recovery,15.35,<20,0.5-1.0%,False,0.13012361743656198
AAPL,2025-02-19,244.53,243.19,243.84,0.5479900216742336,0.2672807270035798,weak_recovery,15.27,<20,0.5-1.0%,False,0.5211726384364825
AAPL,2025-02-20,245.64,243.98,244.81,0.6757857026542895,0.34019181900156265,weak_recovery,15.66,<20,0.5-1.0%,True,2.5540275049115952
AAPL,2025-02-24,247.8,246.16,246.17,0.661824051654566,0.004062398440035304,failed_recovery,18.98,<20,0.5-1.0%,True,4.228445908841294
AAPL,2025-02-25,248.93,246.67,245.99,0.9078857510143491,-0.2756719503790402,failed_recovery,19.43,<20,0.5-1.0%,True,2.3709167544783947
AAPL,2025-02-26,243.57,239.21,239.28,1.7900398242804882,0.0292629906776444,failed_recovery,19.1,<20,>1.0%,False,1.6984045290787355
AAPL,2025-02-27,241.42,238.56,236.37,1.1846574434595252,-0.9180080482897375,failed_recovery,21.13,20-25,>1.0%,True,10.628272251308887
AAPL,2025-02-28,236.81,235.22,240.81,0.6714243486339273,2.3764985970580748,full_recovery,19.63,<20,0.5-1.0%,True,7.098911500236631
AAPL,2025-03-03,241.59,239.71,237.12,0.7781779047145972,-1.0804722372867228,failed_recovery,22.78,20-25,0.5-1.0%,True,16.046867040244535
AAPL,2025-03-04,239.04,235.15,235.06,1.6273427041499273,-0.0382734424835226,failed_recovery,23.51,20-25,>1.0%,True,3.204565408252855
AAPL,2025-03-05,232.25,230.25,234.81,0.8611410118406888,1.9804560260586328,full_recovery,21.93,20-25,0.5-1.0%,True,6.720544449170573
AAPL,2025-03-06,236.84,233.04,234.31,1.6044587062996163,0.5449708204600113,weak_recovery,24.87,20-25,>1.0%,True,13.406292749658007
AAPL,2025-03-07,239.13,236.84,238.01,0.9576381047965509,0.4940043911501383,partial_recovery,23.37,20-25,0.5-1.0%,True,6.0313630880579
AAPL,2025-03-10,229.42,223.26,226.57,2.6850318193705855,1.482576368359761,partial_recovery,27.86,>=25,>1.0%,True,19.21266581086863
AAPL,2025-03-11,222.54,216.52,219.79,2.705131661723727,1.5102530944023562,partial_recovery,26.92,>=25,>1.0%,True,3.374012921751607
AAPL,2025-03-12,220.8,215.95,216.01,2.196557971014503,0.02778420930771117,failed_recovery,24.23,20-25,>1.0%,True,9.992570579494805
AAPL,2025-03-13,215.01,209.79,208.81,2.427794056090414,-0.46713380046712893,failed_recovery,24.66,20-25,>1.0%,False,1.7746595130004115
AAPL,2025-03-14,213.03,211.16,212.47,0.8778106369994858,0.6203826482288323,partial_recovery,21.77,20-25,0.5-1.0%,True,11.71938361719384
AAPL,2025-03-17,213.08,209.67,213.23,1.6003379012577552,1.6979062336051902,full_recovery,20.51,20-25,>1.0%,True,5.787781350482306
AAPL,2025-03-18,214.23,210.59,211.88,1.6991084348597238,0.6125646991784947,weak_recovery,21.7,20-25,>1.0%,True,5.8020477815699545
