ticker,earnings_date,time_of_day,event_day,prior_close,event_open,event_close,gap_pct,eps_surprise_pct,rev_surprise_pct,first_bar_holds,first_bar_strong,drift_1d,drift_2d,drift_3d,drift_5d,drift_10d,vix_on_day,gap_midpoint,year,direction
AAPL,2022-02-10,AMC,2022-02-11,168.6405,168.8463,165.2309,0.122,,,False,False,-1.8824,0.3893,0.2499,-2.8004,-4.0669,28.83,168.7434,2022,UP
AAPL,2022-05-12,AMC,2022-05-13,139.8833,141.8752,144.3479,1.424,,,True,True,2.0903,4.6858,-1.2205,-3.4862,4.9663,30.7,140.8792,2022,UP
AAPL,2022-08-10,AMC,2022-08-11,166.293,167.0987,165.5561,0.4845,,,False,False,1.6899,2.3339,2.2394,2.9012,0.4668,23.71,166.6959,2022,UP
AAPL,2022-11-10,AMC,2022-11-11,144.5519,143.5186,147.3373,-0.7149,,,False,False,0.96,2.1584,1.3073,3.0095,-1.8043,25.74,144.0353,2022,DOWN
AAPL,2023-02-02,AMC,2023-02-03,148.4396,145.6937,152.0615,-1.8499,,,False,False,0.6034,2.5395,0.7293,0.2789,1.3015,20.78,147.0666,2023,DOWN
AAPL,2023-05-05,AMC,2023-05-08,171.0914,170.0169,171.0224,-0.628,,,True,False,-1.0371,-0.0058,0.1037,-0.7271,0.5018,20.71,170.5542,2023,DOWN
AAPL,2023-08-04,AMC,2023-08-07,179.6393,179.7775,176.5399,0.0769,,,False,False,-1.2034,-2.088,-2.2089,-1.257,-3.2488,17.72,179.7084,2023,UP
AAPL,2023-11-03,AMC,2023-11-06,174.6037,174.3368,177.1538,-0.1528,,,False,False,2.9267,3.5324,3.2607,4.7515,8.5209,17.03,174.4703,2023,DOWN
AAPL,2024-02-02,AMC,2024-02-05,183.9391,186.2155,185.7503,1.2376,,,True,True,1.8563,1.9155,1.329,0.828,-2.1836,15.33,185.0773,2024,UP
AAPL,2024-05-03,AMC,2024-05-06,181.7262,180.7054,180.0712,-0.5617,,,True,True,-0.5344,-0.349,0.6489,1.7192,4.3184,15.02,181.2158,2024,DOWN
AAPL,2024-08-05,AMC,2024-08-06,207.6639,203.7244,205.6396,-1.8971,,,True,False,0.2628,1.9305,3.3306,5.8566,8.3634,26.76,205.6942,2024,DOWN
AAPL,2024-10-31,AMC,2024-11-01,224.4357,219.5279,221.4553,-2.1867,8.867,6.0471,True,False,-1.7263,-1.0889,-1.4121,0.5753,-0.2932,21.91,221.9818,2024,DOWN
AAPL,2025-01-30,AMC,2025-01-31,236.2992,245.847,234.7178,4.0406,-27.4038,-4.553,False,False,-4.0322,-2.0161,-2.155,-4.1921,3.0637,18.43,241.0731,2025,UP
AAPL,2025-05-01,AMC,2025-05-02,212.3943,205.1957,204.4589,-3.3893,2.027,4.7483,True,False,-6.7645,-6.9426,-8.0021,-6.9333,-0.8358,24.0,208.795,2025,DOWN
AAPL,2025-07-31,AMC,2025-08-01,206.9403,210.2303,201.766,1.5898,18.3246,-4.9025,False,False,-2.033,-2.2402,2.7364,10.4928,11.6986,21.24,208.5853,2025,UP
AAPL,2025-10-30,AMC,2025-10-31,270.8837,276.4631,269.8557,2.0597,-0.4444,9.3582,False,False,-0.8659,-0.5011,-0.4642,-1.0796,0.4695,20.49,273.6734,2025,UP
AAPL,2026-01-29,AMC,2026-01-30,258.0385,254.9314,259.2374,-1.2041,3.6585,4.0559,False,False,4.5416,4.3364,7.0505,7.6816,-0.8753,20.07,256.485,2026,DOWN
AMD,2022-02-02,AMC,2022-02-03,122.76,120.32,120.08,-1.9876,,,True,True,0.6843,0.7413,4.4558,2.4519,-8.4637,26.67,121.54,2022,DOWN
AMD,2022-05-04,AMC,2022-05-05,99.42,97.65,93.87,-1.7803,,,True,True,-4.1038,-13.1362,-10.7524,-12.4321,-2.766,32.68,98.535,2022,DOWN
AMD,2022-08-03,AMC,2022-08-04,98.09,97.5,103.91,-0.6015,,,False,False,4.3022,2.0186,-2.5996,0.0306,2.3958,24.32,97.795,2022,DOWN
AMD,2022-11-10,AMC,2022-11-11,68.47,69.58,72.37,1.6211,,,True,True,7.3901,11.5379,6.1779,7.4485,6.8935,25.74,69.025,2022,UP
AMD,2023-02-01,AMC,2023-02-02,84.64,84.29,88.31,-0.4135,,,False,False,1.7131,-1.1342,1.5005,-1.6895,-5.3875,20.84,84.465,2023,DOWN
AMD,2023-04-26,AMC,2023-04-27,85.94,86.41,87.44,0.5469,,,True,True,3.9912,4.3635,4.6195,0.7796,12.9858,20.37,86.175,2023,UP
AMD,2023-07-19,AMC,2023-07-20,116.43,114.96,110.25,-1.2626,,,True,True,-4.7067,-4.9987,-2.946,-4.5779,-2.8171,16.66,115.695,2023,DOWN
AMD,2023-10-27,AMC,2023-10-30,96.43,96.14,96.18,-0.3007,,,True,False,2.1466,12.0398,11.822,15.8872,21.1138,20.8,96.285,2023,DOWN
AMD,2024-01-31,AMC,2024-02-01,167.69,169.27,170.48,0.9422,,,True,True,5.9455,3.9,0.1133,0.9899,5.4088,15.5,168.48,2024,UP
AMD,2024-05-01,AMC,2024-05-02,144.27,145.51,146.16,0.8595,,,True,True,4.3876,7.9781,7.0423,5.6283,12.7192,16.05,144.89,2024,UP
AMD,2024-07-31,AMC,2024-08-01,144.48,145.0,132.54,0.3599,,,False,False,-8.2918,-6.686,-9.8976,-5.6478,1.9934,19.14,144.74,2024,UP
AMD,2024-10-29,AMC,2024-10-30,166.25,153.01,148.6,-7.9639,0.0,0.678,True,True,-13.3413,-14.6707,-15.3624,-12.7218,-16.2105,20.76,159.63,2024,DOWN
AMD,2025-02-04,AMC,2025-02-05,119.5,107.61,112.01,-9.9498,-12.381,3.6603,True,False,-7.8159,-9.9916,-7.5481,-6.5105,-4.4603,17.96,113.555,2025,DOWN
AMD,2025-04-29,AMC,2025-04-30,96.06,92.81,97.35,-3.3833,7.5,-3.8031,False,False,0.6142,2.8524,4.7158,4.4764,22.5484,25.54,94.435,2025,DOWN
AMD,2025-07-29,AMC,2025-07-30,177.44,175.61,179.51,-1.0313,9.589,0.4725,False,False,-0.6368,-3.2349,-0.372,-8.0703,3.9337,18.35,176.525,2025,DOWN
AMD,2025-10-28,AMC,2025-10-29,258.01,264.19,264.33,2.3953,9.1954,4.7205,True,True,-1.2286,-0.7325,0.6356,-0.6511,0.3411,19.83,261.1,2025,UP
AMD,2026-01-27,AMC,2026-01-28,252.03,254.13,252.74,0.8332,22.5225,0.6918,True,False,0.0595,-6.0707,-2.2854,-20.569,-15.2561,19.3,253.08,2026,UP
AMZN,2022-02-04,AMC,2022-02-07,157.6395,158.52,157.9355,0.5586,,,True,False,2.3941,2.252,0.8653,-1.5684,-4.7209,25.69,158.0798,2022,UP
AMZN,2022-04-29,AMC,2022-05-02,124.2815,122.401,124.5,-1.5131,,,False,False,-0.0225,1.3252,-6.336,-12.4657,-10.8391,33.01,123.3413,2022,DOWN
AMZN,2022-07-29,AMC,2022-08-01,134.95,134.96,135.39,0.0074,,,True,False,-0.5854,3.3864,5.6465,3.3049,6.0986,24.86,134.955,2022,UP
AMZN,2022-10-28,AMC,2022-10-31,103.41,103.56,102.44,0.145,,,False,False,-6.4017,-10.9177,-13.6447,-12.4553,-4.7578,26.92,103.485,2022,UP
AMZN,2023-02-03,AMC,2023-02-06,103.39,102.93,102.18,-0.4449,,,True,True,-1.238,-3.2305,-4.9811,-3.7238,-8.5211,21.43,103.16,2023,DOWN
AMZN,2023-04-27,AMC,2023-04-28,109.82,107.73,105.45,-1.9031,,,True,True,-7.0752,-5.6365,-5.6183,-3.788,0.4007,19.54,108.775,2023,DOWN
AMZN,2023-08-04,AMC,2023-08-07,139.57,140.99,142.22,1.0174,,,True,True,0.2651,-1.2324,-0.7237,0.7165,-3.5036,17.72,140.28,2023,UP
AMZN,2023-10-27,AMC,2023-10-30,127.74,129.72,132.71,1.55,,,True,True,4.1882,7.2491,8.0867,9.3941,11.6252,20.8,128.73,2023,UP
AMZN,2024-02-02,AMC,2024-02-05,171.81,170.2,170.31,-0.9371,,,True,False,-1.5482,-0.745,-1.1466,0.3085,-2.753,15.33,171.005,2024,DOWN
AMZN,2024-04-25,AMC,2024-04-26,173.67,177.8,179.62,2.3781,,,True,True,4.1976,0.7658,3.069,7.2206,7.9519,16.27,175.735,2024,UP
AMZN,2024-08-02,AMC,2024-08-05,167.9,154.21,161.02,-8.1537,,,True,False,-3.5557,-3.0554,-1.2507,-0.6551,6.1465,33.71,161.055,2024,DOWN
AMZN,2024-10-31,AMC,2024-11-01,186.4,199.0,197.93,6.7597,0.0,7.6428,True,False,5.0322,7.0279,11.0998,11.6845,8.6964,21.91,192.7,2024,UP
AMZN,2025-02-06,AMC,2025-02-07,238.83,232.5,229.15,-2.6504,1.7341,-0.9839,True,True,-2.3824,-2.5416,-4.1452,-4.2499,-10.9366,18.63,235.665,2025,DOWN
AMZN,2025-05-01,AMC,2025-05-02,190.2,191.44,189.98,0.6519,-4.7619,4.8316,False,True,-2.0242,-2.7287,-0.7834,1.5037,8.0915,24.0,190.82,2025,UP
AMZN,2025-07-31,AMC,2025-08-01,234.11,217.21,214.75,-7.2188,-16.5354,-1.3006,True,True,-9.5938,-8.6968,-5.0404,-4.878,-1.3156,21.24,225.66,2025,DOWN
AMZN,2025-10-30,AMC,2025-10-31,222.86,250.1,244.22,12.2229,17.6871,0.991,True,False,13.9729,11.8729,12.2678,9.6697,5.3083,20.49,236.48,2025,UP
AMZN,2026-02-05,AMC,2026-02-06,222.69,202.7,210.32,-8.9766,-15.0943,-4.2933,True,False,-6.2733,-7.0636,-8.3569,-10.7324,-7.8225,20.37,212.695,2026,DOWN
ARM,2023-09-15,AMC,2023-09-18,60.75,57.95,58.0,-4.6091,,,True,False,-9.1852,-12.9054,-14.1399,-10.3868,-13.9753,16.13,59.35,2023,DOWN
ARM,2024-02-08,AMC,2024-02-09,113.89,105.99,115.21,-6.9365,,,False,False,30.8017,5.3473,10.9843,12.6877,28.3695,15.08,109.94,2024,DOWN
ARM,2024-04-19,AMC,2024-04-22,87.19,89.94,93.11,3.154,,,True,True,10.1502,14.5544,12.3179,18.4081,22.6976,17.63,88.565,2024,UP
ARM,2024-07-17,AMC,2024-07-18,161.7,165.85,158.33,2.5665,,,False,False,1.0513,1.1441,6.1843,-7.7675,-24.8547,16.56,163.775,2024,UP
ARM,2024-09-19,AMC,2024-09-20,140.59,140.0,138.9,-0.4197,,,True,True,0.8038,1.9276,4.1539,3.5493,-0.0284,18.94,140.295,2024,DOWN
ARM,2025-01-23,AMC,2025-01-24,166.56,166.5,162.52,-0.036,,,True,True,-12.3679,-10.2606,-11.3833,-4.2087,-2.4316,17.55,166.53,2025,DOWN
ARM,2025-04-03,AMC,2025-04-04,97.72,91.65,87.71,-6.2116,,,True,True,-9.3021,-12.1777,9.0769,6.4163,-0.9108,36.71,94.685,2025,DOWN
ARM,2025-07-31,AMC,2025-08-01,141.375,137.995,137.58,-2.3908,,,True,True,-0.9372,-2.9319,-3.7171,-2.0336,-1.7436,21.24,139.685,2025,DOWN
ARM,2025-11-06,AMC,2025-11-07,158.25,154.74,152.38,-2.218,,,True,False,-2.1548,-5.3776,-6.0032,-11.6777,-16.8594,21.19,156.495,2025,DOWN
ARM,2026-01-22,AMC,2026-01-23,119.2,120.88,116.07,1.4094,,,False,False,-3.75,-3.6242,-7.7517,-11.6107,3.7752,19.15,120.04,2026,UP
ARM,2026-03-25,AMC,2026-03-26,157.07,157.35,154.8,0.1783,,,False,False,-8.2384,-12.8032,-3.6863,,,,157.21,2026,UP
AVGO,2022-03-04,AMC,2022-03-07,55.0922,55.193,52.7545,0.1829,,,False,False,-3.3625,0.1728,-1.3859,-4.7299,1.5715,35.74,55.1426,2022,UP
AVGO,2022-05-23,AMC,2022-05-24,48.9848,49.0127,48.7838,0.057,,,False,True,1.0012,4.6166,10.8139,8.9787,7.4094,30.74,48.9987,2022,UP
AVGO,2022-08-10,AMC,2022-08-11,51.6476,51.9798,51.1803,0.6432,,,False,False,1.4208,1.5534,0.2253,1.4607,-0.0509,23.71,51.8137,2022,UP
