ticker,entry_day,entry_price,exit_price,return_pct,bars_held,exit_reason,vix,rs_rank,pullback_bars
TSLA,2025-05-15,342.73,345.76,0.8840778455343777,20,max_bars,17.83,1,1
COIN,2025-05-16,266.5,246.76,-7.407129455909947,20,max_bars,17.24,1,1
MU,2025-06-06,108.35,121.84,12.45039224734657,20,max_bars,16.77,1,1
MU,2025-06-09,110.64,127.62,15.347071583514102,20,max_bars,17.16,1,1
MU,2025-06-11,115.83,125.77,8.581541914875245,20,max_bars,17.26,1,1
SNOW,2025-06-11,208.51,221.82,6.383386887919046,20,max_bars,17.26,2,1
COIN,2025-06-26,374.97,387.06,3.2242579406352436,20,max_bars,16.59,1,1
MU,2025-07-02,121.49,113.14,-6.872993662029793,20,max_bars,16.64,2,1
COIN,2025-07-07,357.1,413.48,15.78829459535144,20,max_bars,17.79,1,1
AMD,2025-07-08,137.83,154.74,12.268736849742433,20,max_bars,16.81,2,1
AMD,2025-07-11,146.44,166.47,13.677956842392792,20,max_bars,16.4,2,1
AMD,2025-07-14,146.23,173.66,18.758120768652127,20,max_bars,17.2,2,1
COIN,2025-07-14,394.05,379.25,-3.7558685446009417,20,max_bars,17.2,1,1
COIN,2025-07-15,388.04,371.44,-4.277909493866618,20,max_bars,17.38,1,1
COIN,2025-07-16,398.14,377.39,-5.211734565730648,20,max_bars,17.16,1,1
MARA,2025-07-16,19.44,16.55,-14.866255144032925,20,max_bars,17.16,2,1
COIN,2025-07-21,413.48,318.22,-23.03859920673309,20,max_bars,16.65,1,1
AMD,2025-08-04,176.77,176.11,-0.373366521468573,20,max_bars,17.52,1,1
AMD,2025-08-11,172.34,163.35,-5.216432633167001,20,max_bars,16.25,2,1
AMD,2025-08-13,184.39,167.1,-9.376864255111444,20,max_bars,14.49,2,1
GOOGL,2025-08-25,208.18,239.48,15.035065808435,20,max_bars,14.79,2,1
BABA,2025-08-29,135.04,158.06,17.046800947867307,20,max_bars,15.36,2,1
BABA,2025-09-11,155.4,175.45,12.90218790218789,20,max_bars,14.71,2,1
BIDU,2025-09-11,111.82,135.36,21.051690216419264,20,max_bars,14.71,1,1
BABA,2025-09-12,155.04,171.92,10.887512899896798,20,max_bars,14.76,2,1
BIDU,2025-09-16,123.79,131.76,6.438322966313906,20,max_bars,16.36,1,1
BABA,2025-09-17,166.1,182.76,10.030102347983142,20,max_bars,15.72,2,1
BIDU,2025-09-18,135.25,140.2,3.6598890942698623,20,max_bars,15.7,1,1
MU,2025-09-18,168.71,183.56,8.802086420484851,20,max_bars,15.7,2,1
BIDU,2025-09-19,135.46,141.97,4.8058467444263915,20,max_bars,15.45,1,1
MU,2025-09-19,162.52,187.76,15.530396258921966,20,max_bars,15.45,2,1
MU,2025-09-22,164.42,190.89,16.099014718404085,20,max_bars,16.1,2,1
BABA,2025-09-24,176.52,181.17,2.6342624065261595,20,max_bars,16.18,2,1
BIDU,2025-09-24,132.91,137.92,3.769468061093967,20,max_bars,16.18,1,1
BIDU,2025-09-25,135.36,132.39,-2.1941489361702327,20,max_bars,16.74,1,1
BABA,2025-09-26,171.92,159.0,-7.515123313168909,20,max_bars,15.29,2,1
BIDU,2025-10-03,141.97,120.0,-15.475100373318307,20,max_bars,16.65,2,1
MU,2025-10-03,187.76,202.33,7.759906263314882,20,max_bars,16.65,1,1
MU,2025-10-29,226.6,244.8,8.031774051191535,20,max_bars,16.92,2,1
AMD,2025-10-30,254.9,247.99,-2.7108670066692806,20,max_bars,16.91,1,1
MU,2025-10-30,223.97,236.92,5.782024378264941,20,max_bars,16.91,2,1
MU,2025-11-03,234.59,241.91,3.120337610298816,20,max_bars,17.17,2,1
MU,2025-11-10,253.07,223.7,-11.605484648516223,20,max_bars,17.6,1,1
MU,2025-11-12,244.8,230.15,-5.984477124183009,20,max_bars,17.51,1,1
GS,2025-11-26,807.47,906.41,12.253086801986445,20,max_bars,17.19,2,1
AVGO,2025-11-28,401.35,359.22,-10.497072380715085,20,max_bars,16.35,2,1
GOOGL,2025-12-03,319.31,296.67,-7.090288434436751,20,max_bars,16.08,1,1
TXN,2025-12-05,181.36,175.16,-3.418614909572131,20,max_bars,15.41,1,1
TXN,2025-12-09,178.36,175.91,-1.3736263736263832,20,max_bars,16.93,2,1
TSLA,2025-12-15,475.07,454.43,-4.344622897678234,20,max_bars,16.5,1,1
C,2025-12-18,112.25,122.68,9.291759465478847,20,max_bars,16.87,2,1
TSLA,2025-12-18,483.4,451.69,-6.559784857261064,20,max_bars,16.87,1,1
MU,2025-12-23,276.17,326.95,18.38722525980373,20,max_bars,14.0,1,1
C,2025-12-24,121.13,120.69,-0.36324609923222795,20,max_bars,13.47,2,1
BA,2025-12-29,217.27,244.51,12.537395866893716,20,max_bars,14.2,2,1
BA,2025-12-30,218.5,242.61,11.034324942791768,20,max_bars,14.33,2,1
MU,2025-12-30,292.63,333.34,13.911765710966058,20,max_bars,14.33,1,1
BIDU,2026-01-07,146.85,162.55,10.691181477698343,20,max_bars,15.38,2,1
BA,2026-01-13,244.51,241.69,-1.1533270622878382,20,max_bars,15.98,2,1
BIDU,2026-01-14,150.53,157.53,4.6502358333886935,20,max_bars,16.75,2,1
BIDU,2026-01-15,149.41,153.15,2.5031791714075426,20,max_bars,15.84,2,1
MU,2026-01-27,410.24,373.13,-9.045924336973481,20,max_bars,16.35,1,1
TXN,2026-01-29,217.59,222.98,2.477135897789414,20,max_bars,16.88,2,1
MU,2026-02-02,437.83,399.98,-8.644907840942825,20,max_bars,16.34,1,1
TXN,2026-02-10,220.93,213.78,-3.2363191961254723,20,max_bars,17.79,1,1
TXN,2026-02-11,226.31,212.61,-6.053643232733855,20,max_bars,17.65,2,1
