ticker,sector,signal_day,rs_rank,rs_return,vix,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,exit_reason,return_pct,hold_bars,pullback_bars
PLTR,growth_semi,2025-05-13,2,38.2381517866782,18.22,2025-05-14,2,130.14,2025-05-19,1,126.2,ema9_cross,-3.027508836637455,5,1
MARA,crypto_proxy,2025-05-13,7,26.47058823529412,18.22,2025-05-14,2,15.88,2025-05-20,2,16.22,max_bars,2.141057934508804,8,1
COIN,crypto_proxy,2025-05-14,1,50.04271800421485,18.62,2025-05-16,1,267.63,2025-05-22,1,268.77,max_bars,0.4259612151104085,8,2
PLTR,growth_semi,2025-05-15,3,38.121427801143106,17.83,2025-05-16,2,129.49,2025-05-19,1,126.2,ema9_cross,-2.540736736427528,1,1
AVGO,growth_semi,2025-05-15,5,33.122119815668206,17.83,2025-05-16,2,227.15,2025-05-22,2,229.15,max_bars,0.8804754567466431,8,1
BA,other,2025-05-15,6,31.849862523179233,17.83,2025-05-16,2,205.78,2025-05-21,1,202.88,ema9_cross,-1.4092720380989434,5,1
AMD,growth_semi,2025-05-15,7,30.259431290359135,17.83,2025-05-16,2,117.18,2025-05-20,1,113.64,ema9_cross,-3.020993343573994,3,1
NVDA,mega_tech,2025-05-19,4,39.97726803058483,18.14,2025-05-20,2,134.36,2025-05-21,1,133.19,ema9_cross,-0.8707948794284129,1,1
TSLA,growth_semi,2025-05-20,1,44.34600041990341,18.09,2025-05-22,1,344.78,2025-05-23,2,339.39,ema9_cross,-1.563315737571781,3,2
MU,growth_semi,2025-05-20,2,39.74029680365298,18.09,2025-05-22,1,96.47,2025-05-22,2,94.66,ema9_cross,-1.8762309526277623,1,2
COIN,crypto_proxy,2025-05-20,3,37.60530749789385,18.09,2025-05-21,2,258.88,2025-05-28,1,257.99,ema9_cross,-0.34378862793571785,7,1
SNOW,other,2025-05-28,1,27.479106897842087,19.31,2025-05-30,1,202.42,2025-06-05,1,211.8,max_bars,4.633929453611315,8,2
